id,name,country,type
1,Florian Mueller,deutschland,1
Mainz,Mainz 05,deutschland,2
33,Fabian Bredlow,deutschland,1
Nuernberg,1.FC Nuernberg,deutschland,2
42,Florian Schock,deutschland,1
Stuttgart,VfB Stuttgart_2,deutschland,2
5,Konstantinos Mavropanos,griechenland,1
London,FC Arsenal,england,2
2,Waldemar Anton,deutschland,1
Hannover,Hannover 96,deutschland,2
37,Hiroki Ito,japan,1
Iwata,Jubilo Iwata,japan,2
24,Borna Sosa,kroatien,1
Zagreb,Dinamo Zagreb,kroatien,2
15,Pascal Stenzel,deutschland,1
Freiburg,SC Freiburg,deutschland,2
23,Orel Mangala,belgien,1
Hamburg,Hamburger SV,deutschland,2
3,Wataru Endo,japan,1
St. Truiden,VV St. Truiden,belgien,2
16,Atakan Karazor,deutschland,1
Kiel,Holstein Kiel,deutschland,2
32,Naouirou Ahamada,frankreich,1
Turin,Juventus Turin,italien,2
6,Clinton Mola,england,1
London,Chelsea_u23,england,2
8,Enzo Millot,frankreich,1
Monaco,AS Monaco,frankreich,2
28,Nikolas Nartey,daenemark,1
Sandhausen,SV Sandhausen,deutschland,2
14,Silas Katompa Mvumpa,kongo,1
Paris,Paris FC,frankreich,2
30,Robert Massimo,deutschland,1
Bielefeld,Arminia Bielefeld,deutschland,2
11,Erik Thommy,deutschland,1
Duesseldorf,Fortuna Duesseldorf,deutschland,2
20,Philipp Foerster,deutschland,1
Sandhausen,SV_Sandhausen,deutschland,2
31,Mateo Klimowicz,deutschland,1
Cordoba,Instituto AC,argentinien,2
25,Lilian Egloff,deutschland,1
Stuttgart,VfB Stuttgart U19,deutschland,2
34,Oemer Beyaz,tuerkei,1
Istanbul,Fenerbahce Istanbul,tuerkei,2
10,Daniel Didavi,deutschland,1
Wolfsburg,VfL Wolfsburg,deutschland,2
7,Tanguy Coulibaly,frankreich,1
Paris,Paris SG U19,frankreich,2
22,Chris Fuehrich,deutschland,1
Paderborn,SC Paderborn,deutschland,2
9,Sasa Kalajdzic,oesterreich,1
Maria Enzersdorf,Admira Wacker,oesterreich,2
18,Tiago Tomas,portugal,1
Lissabon,Sporting Lissabon,portugal,2
17,Omar Marmoush,aegypten,1
Wolfsburg,VFL Wolfsburg,deutschland,2
19,Wahid Faghir,daenemark,1
Vejle,Vejle BK,daenemark,2
50,Alexis Tibidi,frankreich,1
Stuttgart,VfB Stuttgart U19,deutschland,2
44,Mohamed Sankoh,niederlande,1
Stuttgart,VfB Stuttgart_2,deutschland,2
komoren,,,
martinique,,,
ghana,,,
kanada,,,
afghanistan,,,
kamerun,,,
sierra leone,,,
usbekistan,,,
kongo,,,
italien,,,
argentinien,,,
benin,,,
elfenbeinkueste,,,
serbien,,,